 X,Y,amenity,name,cuisine,addr:street,addr:housenumber,addr:postcode,phone,website,addr:city,opening_hours,addr:state,takeaway,delivery,outdoor_seating,wheelchair,drink:beer,drink:wine,addr:country,smoking,cocktails,diet:vegetarian,drink:liquor,toilets,reservation,drink:coffee,payment:cash,name:en,email,payment:credit_cards,bar,diet:vegan,fax,happy_hours,internet_access,toilets:unisex,description,toilets:wheelchair,drink:tea,payment:debit_cards,capacity
-73.9600778,40.7626267975452,restaurant,16 Handles,"frozen_yogurt;ice_cream;dessert",1st Avenue,1161,10065,,,New York,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9161867,40.7646147975452,restaurant,16 Handles,ice_cream,30th Avenue,37-07,11103,,http://16handles.com/locations/astoria/,Astoria,10:00-0:00,NY,yes,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,
-73.9582765,40.7183326975452,restaurant,16 Handles,ice_cream,North 7th Street,139,11211,,,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.3593977,41.1041451975452,restaurant,1943 Pizza Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9412839,42.8156459975452,restaurant,20 North Broadway Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9460703,40.7903520975452,restaurant,212PIZZAMAN,pizza,East 104th Street,188,10029,,,New York,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.008734,40.7093200975452,restaurant,22 Thai Cuisine,thai,Nassau Street,59,10038,+1 212-732-9250,https://www.22thaicuisineny.com/,,11:00-21:30,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7020111,40.6390173975452,restaurant,27 Dressings,Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9954916,40.7395596975452,restaurant,2 Bros. Pizza,pizza,6th Avenue,601,10011,,https://www.2brospizza.com/location/601-6th-ave-new-york-ny-10011/,,Mo-Su 10:00-02:00,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9544692,40.7695748975452,restaurant,2nd Ave Deli,jewish,1st Avenue,1442,,+1 212-737-1700,https://2ndavedeli.com,,"Mo-Fr 11:00-23:00; Sa, Su 09:00-23:00",,,,,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,
-73.9791891,40.7451775975452,restaurant,2nd Ave Deli,,East 33rd Street,162,,+1 212-689-9000,https://2ndavedeli.com,,Mo-Su 07:00-23:00,,,,,,draught,yes,,,,,yes,,,yes,,,,,yes,,,,,,,,,,
-73.949317,40.7808932975452,restaurant,3 Decker Restaurant & Cafe,diner,2nd Avenue,1746,,"+1 212-289-9936; +1 212-289-6571",,,06:00-21:00,,,yes,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,
-73.9636633,40.7739694975452,restaurant,3 Guys Restaurant,burger,Madison Avene,960,10021,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.997941,40.6383893975452,restaurant,3 in 1,diner,13th Avenue,4902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.994264,40.7609658975452,restaurant,44 & X,american,10th Avenue,622,10036,212-977-1170,http://44andx.com/,New York,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9938182,40.7117608975452,restaurant,49 Monroe,italian,Monroe Street,49,10002,,,New York,"Tu-We 17:00-00:00; Th 17:00-00:30; Fr 17:00-01:00; Sa 12:00-01:00; Su 12:00-00:00",NY,yes,,,yes,,,,,yes,,,,,,,,,,,,,,,,"Shareable Southern European dishes and cocktails served in lofty, plant-filled surroundings.",,,,
-74.0006431,40.7351585975452,restaurant,4 Carles Prime Rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9116352,40.7445824975452,restaurant,52nd Sushi,,Roosevelt Avenue,52-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8423767,40.7193565975452,restaurant,5 Burro Cafe,mexican,Austin Street,72-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9779596,40.7870476975452,restaurant,5 Napkin Burger,burger,Broadway,2315,10024,+1 212 333 4488,https://5napkinburger.com/upper-west-side-new-york,New York,"Mo-Fr 11:30-24:00; Sa-Su 11:00-24:00",NY,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9875084,40.7332166975452,restaurant,5 Napkin Burger,burger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9596052,40.7674739975452,restaurant,5 Napkin Burger,,2nd Avenue,1325,,,,New York,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8571201,40.9656304975452,restaurant,5 Napkin Burger,,Market Street,211,10710,,,Yonkers,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.621029,42.9299091975452,restaurant,5S Diner,diner,Hancock Street,12,,,,Fort Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9460359,40.7509930975452,restaurant,5 Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7290643,40.6181582975452,restaurant,5 Towns Jerusalem II,pizza,Central Avenue,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.973922,40.6475407975452,restaurant,620 On Caton Pizzeria,pizza,Caton Avenue,620,11218,718-436-3502,http://catonpizzeria.com,Brooklyn,,NY,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9737769,40.6475199975452,restaurant,624 Kam Hai,chinese,Caton Avenue,624,11218,718-436-9748,,Brooklyn,,NY,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.9427465,41.0353673975452,restaurant,668 The Gig Shack,seafood,Main Street,782,11954,,https://www.668thegigshack.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9715083,40.6977415975452,restaurant,66S Fusion,"sushi;ramen",Flushing Avenue,130,,+1-718-222-0050,http://www.66sfusion.com/,,"Mo-Sa 11:00-22:00; Su 12:00-22:00",,yes,,,yes,,,,,,,,yes,,,,,,yes,,,,,no,yes,,yes,,,
-73.9758422,40.6872305975452,restaurant,67 Burger,burger,,,,+1-718-797-7150,http://67burger.com,,"Tu-Th 11:30-21:00; Fr-Sa 11:30-22:00; Su 11:30-21:00",,,,sidewalk,,draught,yes,,no,yes,,,,,,,,,,,,,,,,,,,,
-78.876228,42.8771378975452,restaurant,(716) Food and Sports,regional,Scott Street,7,14203,,,Buffalo,,NY,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,
-73.9527731,40.6948342975452,restaurant,750 Myrtle Diner,tapas,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9938932,40.7029414975452,restaurant,7 Old Fulton,international,Old Fulton,7,11201,(718) 797-0007,,Brooklyn,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9814979,40.6672425975452,restaurant,7th Avenue Donuts & Diner,"diner;donut",7th Avenue,324,,+1-718-768-0748,https://www.7thavedonutshop.com,,24/7,,,yes,,,draught,yes,,,,,,yes,,,only,,,,,,,,,yes,,,,,
-78.7570851,42.9913499975452,restaurant,800 Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9184084,41.5274191975452,restaurant,84 Diner,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9942578,40.7139447975452,restaurant,88 palace,dim_sum,East Broadway,88,10002,,,New York,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9182618,41.0914172975452,restaurant,8 North Broadway,regional,North Broadway,8,,,,Nyack,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9333829,40.7030314975452,restaurant,983 Bushwick's Living Room,"american;breakfast",,,,+1-718-386-1133,http://983bk.com,,Mo-Su 10:00-02:00,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
-74.9843589,44.6853049975452,restaurant,#A1 Chinese Kitchen,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1713012,44.5956339975452,restaurant,A-1 Oriental Kitchen,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9821825,40.6585530975452,restaurant,A8 Pan Asian Vegan,asian,,,,+1-718-622-2088,http://a8vegan.com,,"Mo-Th 12:00-23:00; Fr-Sa 12:00-23:30; Su 12:00-23:00",,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,
-74.0080416,40.7133082975452,restaurant,Aahar,indian,Murray Street,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9687902,40.7993200975452,restaurant,Aangan,indian,Broadway,2701,10025,+1 212 280 4100,http://www.aangan.com,New York,"Mo-Su 12:00-15:00; Mo-Su 17:00-22:30",NY,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,
-73.9124469,40.7667736975452,restaurant,Aaron Sushi,"sushi;Japanese",Steinway Street,25-45,,+1-718-728-8816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9901271,40.7621602975452,restaurant,Abace Sushi,,9th Avenue,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9839741,40.7674386975452,restaurant,ABA Turkish Restaurant,,West 57th Street,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6564579,43.0920691975452,restaurant,Abbot's Custard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9383222,42.7120803975452,restaurant,Abbott Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6389727,43.3035193975452,restaurant,Abbott's,,Main Street,41,12803,+1 518 792 9898,,South Glens Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.4910827,43.1330770975452,restaurant,Abbott's Frozen Custard,ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6090105,43.2581111975452,restaurant,Abbott's Frozen Custard,ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.911224,43.0432556975452,restaurant,Abeel's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.9787999,43.2697551975452,restaurant,Abe's Boat House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9977207,40.6789374975452,restaurant,Abilene,"american;mexican;brunch",Court Street,442,11231,+1-718-522-6900,,,Mo-Su 11:00-01:00+,,,,sidewalk,,draught,yes,,,yes,,yes,,,,,,,,yes,,,Mo-Su 16:00-19:00,,,,,,,
-73.9685162,40.7545714975452,restaurant,Abitino,pizza,,,,,,,,,,,no,limited,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9627025,40.7120324975452,restaurant,Abracadabra,turkish,Bedford Avenue,347,11211,+1 (347) 844-9157,http://abracadabrabrooklyn.com/,Brooklyn,,NY,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,
-73.9812377,40.7406017975452,restaurant,Abumi Sushi,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9757635,40.6872370975452,restaurant,Academy,diner,,,,+1-718-237-9326,,,"Mo 05:30-17:00; Tu-Sa 05:30-19:30; Su 05:30-17:00",,,,,,,,,no,,,,,,yes,,,,,,,,,,,,,,,
-73.8940349,40.7006939975452,restaurant,Ace Pizzeria and Restaurant,pizza,Myrtle Avenue,61-04,,+1-718-418-0038,https://acepizzany.com/,,Mo-Su 11:00-22:30,,yes,yes,,,,,,,,,,,,,yes,,info@acepizzany.com,,,,,,,,,,,,
-73.8058543,40.6977147975452,restaurant,A Churrasqueira,regional,,,,+1 718 523-5293,achurrasqueira.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9711112,40.7933325975452,restaurant,Acqua,"italian; pizza",Amsterdam Avenue,718,10025,+1 212 222 2752,http://www.acquanyc.com/,New York,,NY,yes,,,,,,US,,,,,,,,,,,,,,,,,,,,,,
-74.0016978,40.7082305975452,restaurant,ACQUA,italian,Peck Slip,21,10038,+12123494433,https://www.acquarestaurantnyc.com/,,"Mo-Fr 08:00-23:00; Sa-Su 12:00-22:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9020597,40.7003417975452,restaurant,Acres BBQ,"barbeque;sandwich;regional;brunch",Myrtle Avenue,57-41,11385,+1-718-497-8462,https://www.acresbbq.com/,Ridgewood,"Su 09:00-20:30; Th-Sa 09:00-20:30",NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5960445,43.1389907975452,restaurant,Addis Ababa,ethiopean,South Goodman St.,752,14620,,,Rochester,closed,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9117779,40.7682288975452,restaurant,Aden (Yemeni),arab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6223391,43.3972094975452,restaurant,Adirondack Bar and Grill,,,,,,www.adirondack-bar-and-grill.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9660935,44.1827246975452,restaurant,Adirondak Loj,,Adirondack Loj Road,1002,12946,518 523 3441,http://www.adk.org/page.php?pname=adirondak-loj,Lake Placid,,,,,,,,,,,,,,,,,,,loj@adk.org,,,,,,,,,,,,
-73.1206859,40.9147767975452,restaurant,Admin Cart,"coffee;soup;sandwich",,,,,,,,,only,,,,,,,no,,,,,,,,,,,,,,,,,Types of payment accepted: • Dining Dollars • Wolfie Wallet • Cash • Credit/Debit,,,,
-75.9184134,44.3371888975452,restaurant,Admirals' Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9665915,43.0264265975452,restaurant,Adrian's Custard and Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0629922,40.7705432975452,restaurant,Aegean Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7440496,40.7655544975452,restaurant,Aegea West Gyros & Pizza,"Greek;Italian;pizza",Northern Boulevard,242-05,,+1-718-423-4429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.959163,40.7680306975452,restaurant,Afghan 2 Kebab House,afghan,2nd Avenue,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8911919,40.7489030975452,restaurant,Afghan Kebab & Grill,afghan,37th Avenue,74-16,11372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9808036,40.7239970975452,restaurant,Against the Grain,,East 11th Street,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.4649064,42.4383397975452,restaurant,Agava,southwest_inspired,Pine Tree Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8767863,42.9178583975452,restaurant,Agave,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9783048,40.7777796975452,restaurant,AG Kitchen,,Columbus Avenue,269,,2128739400,,,"Mo-Th 11:30-16:00; Fr-Su 10:00-00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9179527,40.7810383975452,restaurant,Agnanti,greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9428226,40.6799036975452,restaurant,Agosto Thai,thai,Fulton Street,1450,11216,,,Brooklyn,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8624358,40.8846426975452,restaurant,Agra Grill,indian,White Plains Road,3835,,+1-347-346-5228,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
-73.9214323,40.6980672975452,restaurant,Agra Heights,indian,Wilson Avenue,226,,+1-718-443-5700,https://agraheightsbrooklynnyc.com/,,Mo-Su 14:00-02:00,,yes,yes,,,,,,,,yes,,,yes,,,,,yes,,,,,,,,,,yes,
-73.9665484,40.7642344975452,restaurant,Agra Indian Cuisine,,Lexington Avenue,807,,+1-212-308-8281,,,Mo-Su 12:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9549228,40.7333521975452,restaurant,Agra Taj Mahal,indian,Manhattan Avenue,1005,11222,,,Brooklyn,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7039235,40.6447949975452,restaurant,Ahuva's Grill,,Peninsula Boulevard,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9658539,42.3289666975452,restaurant,Aiello's,italian,Main Street,2677,,,,Whitney Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6449508,43.3097986975452,restaurant,Aimie's Dinner & Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7912282,40.6439715975452,restaurant,Air France Lounge,,Terminal 1 departures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9666403,40.6864754975452,restaurant,Aita,italian,Greene Avenue,132,11238,,,Brooklyn,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9579205,40.6712087975452,restaurant,Aita,italian,,,,+1 917 966 2670,http://www.aitarestaurant.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5664917,43.1267629975452,restaurant,Aja Noodle,asian,Elmwood Avenue,2602,,,,Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9280327,40.7041321975452,restaurant,Ajihei,japanese,Knickerbocker Avenue,156,,+1-718-552-2065,https://ajiheibushwick.business.site/,,"Fr 18:00-23:00; Tu 18:00-22:00; We, Th 18:30-22:00; Su 13:00-16:00, 18:00-22:00; Sa 13:00-16:00, 18:00-23:00",,yes,,,yes,yes,,,,,,yes,,,,,,,,,,,,,,,,,,
-73.9920502,40.7595043975452,restaurant,Ajisai,japanese,9th Avenue,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9668479,40.7637997975452,restaurant,Ajisai,"japanese;fish",Lexington Avenue,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9921722,40.7466178975452,restaurant,Ajisen Ramen,japanese,West 28th Street,136,,+1-646-638-0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9986409,40.7141518975452,restaurant,Ajisen Ramen,,Mott Street,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9801665,40.6765614975452,restaurant,Aji Sushi,japanese,,,,+1 718 622 2889,https://www.ajifusionsushi.com/,,"Mo-Th 12:00-23:15; Fr-Sa 12:00-23:30; Su 13:00-23:15",,yes,yes,,,,,,,,,,yes,,,,,,,,,+1 718 622 2077,,,yes,,,,,
-73.267483,43.3992699975452,restaurant,AJ's Restaurant,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9386317,41.7057800975452,restaurant,Akari,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9161329,40.7025314975452,restaurant,Akaru Sushi,"sushi;tea",Wyckoff Avenue,201,,+1-718-928-7688,,,"Mo-Sa 11:30-22:30; Su 12:30-22:30",,yes,yes,,yes,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,,
-73.9799651,40.7565430975452,restaurant,Akdeniz,turkish,,,10036,2125752307,http://akdeniz46.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9820588,44.2812389975452,restaurant,Aki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9814386,40.7306978975452,restaurant,Akina Sushi,sushi,East 14th Street,424,10009,(212) 388-1127,http://www.akinasushi.com/,New York,"Mo-Th 12:00-23:00; Fr-Sa 12:00-23:30; Su 13:00-23:00",NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9522998,40.7691693975452,restaurant,Aki Sushi,japanese,York Avenue,1425,,+1-212-628-8885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9583521,40.7169659975452,restaurant,Ako,japanese,,,,7183022035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.2245149,43.0639428975452,restaurant,Akropolis,"breakfast;diner;greek",Canal Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1595663,40.8385830975452,restaurant,Akropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.590298,43.1447285975452,restaurant,Aladdins Natural Eatery,greek,Monroe Avenue,646,14607,,https://www.eataladdins.com/,Rochester,,NY,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9576457,40.7700896975452,restaurant,A La Turka Restaurant,turkish,2nd Avenue,1417,10021,+1 (212) 744-2424,http://www.alaturkarestaurant.com,,Mo-Su 12:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7880848,42.6532522975452,restaurant,Albany Ale and Oyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9390517,40.6747336975452,restaurant,Albany Deli & Grill,,Albany Avenue,176,11213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7477348,42.6540692975452,restaurant,Albany Pump Station,,Quackenbush Square,19,,518-447-9000,,Albany,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8188581,40.7092778975452,restaurant,Alba Ristorante & Pizzaria,italian,Queens Boulevard,137-65,,+1-718-291-1620,,,"Mo-We, Su 11:00-23:00; Th-Sa 11:00-00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9077307,40.7738431975452,restaurant,Alba's Pizza,pizza,,,,,,,"Su-Th 11:00-22:00, Fr,Sa 11:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9268295,40.8654854975452,restaurant,Albert's Mofongo,latin_american,Broadway,4762,,+1-212-569-3441,http://albertsmofongoonline.com/,,24/7,,yes,yes,,yes,yes,yes,,,,,,,yes,yes,,,,,,,,,,,"Always open spot for Pan-Latin eats like mofongo (dish made with mashed plantains), late-night coffee, wine, and beers.",,,,
-73.9717524,40.7512208975452,restaurant,Alcala,spanish,East 44th Street,246,10017,,http://alcalarestaurant.com/,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9772854,40.6813471975452,restaurant,Alchemy,american,,,,+1 718 636 4385,http://alchemybrooklyn.com,,"Mo-Th 09:00-23:00; Fr 09:00-24:00; Sa 10:00-24:00; Su 10:00-23:00",,,,,,draught,yes,,,yes,,yes,,,,,,,,yes,,,Mo-Fr 16:00-18:30,,,,,,,
-73.9937954,40.7387251975452,restaurant,Aldea,spanish,West 17th Street,31,10011,+1 212 675-7223,http://aldearestaurant.com/,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9777036,40.7836374975452,restaurant,Al Dente,italian,,,,,http://aldentenyc.com/,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9813928,40.6752897975452,restaurant,al di la Trattoria,italian,5th Avenue,248,11215,+1-718-783-4565,http://www.aldilatrattoria.com,Brooklyn,"Mo-Th 12:00-15:00, 18:00-22:30; Fr 12:00-15:00, 18:00-23:00; Sa 11:00-15:30, 17:30-23:00; Su 11:00-15:30, 17:00-22:00",NY,,,,,draught,yes,,,yes,,yes,yes,,,,,,,,,,,,yes,,,,,
-73.8428635,40.6720691975452,restaurant,Aldo's,"Italian;pizza",Cross Bay Boulevard,137-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9917722,40.7401241975452,restaurant,Aleo,italian,West 20th Street,7,10010,+1-212-691-8136,http://www.aleorestaurant.com,New York,"Su 17:00-22:00; Mo 12:00-22:00; Tu,We 12:00-22:30; Th,Fr 12:00-23:00; Sa 17:00-23:00",NY,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9111256,40.6948491975452,restaurant,Alex Luncheonette,"dominican;chicken",Knickerbocker Avenue,685,,+1-718-417-9465,,,Mo-Sa 07:00-19:00,,yes,yes,,,,,,,,,,,,yes,only,,,,,,,,,,,,,,
-76.5098667,43.4603917975452,restaurant,Alex's On the Water,regional,East 1st Street,26,13126,+1 315 343 5121,,,,NY,,,,yes,,,US,,,,,,,,,,,,,,,,,,,,,,
-78.2030188,43.0117151975452,restaurant,Alex's Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9873248,40.7653775975452,restaurant,Alfie's,regional,9th Avenue,800,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0088567,40.7047017975452,restaurant,Al Horno,mexican,Pearl Street,110,10005,+12124808500,https://www.alhornokitchen.com/,,Mo-Su 08:15-21:00,,,,,,,,,,,,,,,,,Al Horno,,,,,,,,,,,,,
-73.9845353,40.7400510975452,restaurant,Al Horno,mexican,,,,,http://alhornoleanmexicankitchen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9873946,40.7250635975452,restaurant,Al Horno,mexican,,,,,https://www.alhornoleanmexicankitchen.com/,,"Mo-Fr 09:15-21:30; Sa-Su 10:15-21:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
