house_name,LNG,LAT,price,streetAddress,postcode,house_type,ZCTA,nearest_3theaters_index,most_common_cuisine,num_rests_within_500m,nearest_5rests_index,distance_from_subway,nearest_subway
"Sunny 1 Bed Gem, Only 2 Blocks to R Train, MUST SEE!",-73.985429,40.678344,"$2,000",252 3rd Avenue,11217,Apartment,11215,"[58, 91, 60]",italian,45,"[1409, 1050, 1149, 87, 320]",259.78250105361485,Union St
BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! AVAILABLE NOW,-73.933804,40.850063,"$2,400",west 182 st,10040,Apartment,10033,"[6, 74, 62]",american,10,"[720, 801, 1286, 537, 497]",28.80602330999842,181 St
HOME OFFICE OR WALK IN CLOSET? YOU CHOOSE!,-73.8961,40.7036,"$1,750",,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
"BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! TRAINS 1,A,C!",-73.933804,40.850063,"$2,400",west 182 st,10040,Apartment,10033,"[6, 74, 62]",american,10,"[720, 801, 1286, 537, 497]",28.80602330999842,181 St
GUT RENOVATED TWO BED! WITH LAUNDRY ACCESS!,-73.8961,40.7036,"$2,195",,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
1 BEDROOM PROSPECT HEIGHT,-73.968731,40.673928,"$1,800",St Johns place,11238,Apartment,11238,"[24, 60, 75]",mexican,6,"[40, 672, 1270, 1213, 696]",260.5258686004232,Grand Army Plaza
ENJOY A HOME OFFICE!,-73.8961,40.7036,"$1,795",,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
&& Second Chance!! Large Windows Lots Of Sunlight &&,-73.917852,40.706852,"$2,400",Hart,11247,Apartment,11237,"[74, 6, 62]",mexican,40,"[806, 607, 700, 25, 386]",113.28509459369339,DeKalb Av
**Newly Renovated Jr.4/Ab-LL. Pet Ok!! South Slope area!!,-73.979513,40.657479,"$2,400",Prospect Avenue,11215,Apartment,11215,"[58, 60, 24]",diner,19,"[1076, 415, 907, 11, 592]",88.59265256209052,15 St-Prospect Park
NO FEE_AWESOME HOT BARGAIN  1BR_ASTOR PLACE 5 ST & 3 AVE,-73.989612,40.727057,"$1,495",221 EAST 5 STREET,10003,Apartment,10003,"[45, 46, 106]",american,129,"[1061, 383, 123, 191, 278]",117.80914120784833,2 Av
1BR in 3BR all utilities included! Move in ASAP,-73.98026,40.730657,"$1,450",14th street,10009,Apartment,10009,"[34, 24, 60]",american,27,"[402, 26, 397, 103, 300]",152.3855844104539,1 Av
One month free for 2 bedroom,-75.1186,39.9512,"$1,883",,8102,Apartment,10307,"[42, 110, 35]",,0,"[1408, 338, 1048, 876, 371]",97765.88041331295,Tottenville
Whole Floor of Brownstone in Prime Park Slope,-73.974166,40.676049,"$3,500",43 7th Avenue,11217,Apartment,11217,"[24, 60, 58]",mexican,25,"[1175, 908, 694, 703, 900]",179.63806353269558,Bergen St
Large 2 bedrm/2 baths,-73.898824,40.945497,"$1,750",54 Ravine ave,10701,Apartment,10471,"[6, 74, 62]",,0,"[529, 925, 198, 414, 437]",1734.836082304633,Van Cortlandt Park-242 St
Stunning Two Bedroom Apartment in Kew Gardens,-73.8297,40.7069,"$2,150",83 Ave,11415,Apartment,11415,"[6, 74, 62]",pizza,1,"[345, 932, 480, 204, 138]",252.6315722926479,121 St
Large 1 bed + office a block from DeKalb L in Bushwick. No fee!,-73.918504,40.703858,"$2,100",Wyckoff,11237,Apartment,11237,"[74, 6, 62]",mexican,41,"[607, 806, 1162, 814, 700]",8.902888651072253,DeKalb Av
Modern apartment with Brooklyn charm,-73.994605,40.695458,"$2,900",,11202,Apartment,11201,"[91, 58, 15]",american,22,"[279, 318, 10, 88, 81]",179.77611327709275,Clark St
Beautiful One Bedroom Apartment in Flushing,-73.8241,40.7667,"$1,750",34 Ave,11354,Apartment,11354,"[6, 74, 62]",chicken,30,"[1053, 1018, 556, 970, 661]",695.0871684310122,Flushing-Main St
Bright and Sunny Two Bedroom apartment in Flushing,-73.8226,40.7536,"$2,100",140 st,11355,Apartment,11355,"[6, 74, 62]",chinese,11,"[1053, 515, 1018, 556, 661]",846.8217833933045,Flushing-Main St
college point apartment for rent,-73.845,40.7855,"$2,300",college point blvd,11356,Apartment,11356,"[6, 74, 62]",,0,"[1329, 875, 1164, 1198, 546]",957.8262261888729,Mets-Willets Point
No fee!A stunning two bedroom w/ beautiful roof,-73.9498,40.7272,"$3,200",17 Monitor St,11222,Apartment,11222,"[74, 112, 1]",italian,10,"[962, 767, 1002, 790, 272]",182.18350585416079,Nassau Av
One month free on 12-month lease for 2 bedroom,-73.7652,41.033,"$2,785",,10601,Apartment,10464,"[6, 74, 62]",,0,"[890, 891, 1229, 1047, 209]",8568.462661528265,Eastchester-Dyre Av
Steps From Marcy JMZ | 2 Bed + Home Office | Video,-73.960304,40.708653,"$2,500",Broadway,11251,Apartment,11205,"[112, 1, 74]",american,14,"[225, 1025, 685, 15, 366]",283.3575070131308,Marcy Av
Large 1 bedroom with home office in Tribeca,-74.004615,40.717144,"$5,100",Leonard St,10278,Apartment,10013,"[87, 107, 73]",italian,38,"[342, 1163, 126, 365, 159]",131.81530471713583,Canal St
Sunny One Bedroom with Parking,-73.911,40.7763,"$1,700",,11105,Apartment,11105,"[6, 74, 62]",greek,8,"[1199, 1300, 112, 100, 13]",121.39375807897234,Astoria-Ditmars Blvd
"No fee!Large sunny true 2 bedroom,w/ windows & closets",-73.9436,40.7012,"$2,600","137 Manhattan Ave,",11206,Apartment,11206,"[74, 112, 6]",coffee,8,"[807, 808, 50, 97, 266]",276.6113239444516,Flushing Av
Brand new 22-unit converted rectory building featuring  rooftop,-73.9563,40.7095,"$2,500","312 Devoe St,",11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
Downtown STUDIO//Special Pricing,-74.617304,42.409971,"$1,375",99 Prospect Street,12167,Apartment,10471,"[42, 93, 110]",,0,"[371, 876, 314, 251, 95]",69671.70255485713,Tottenville
No Fee Large Walls up FLEX 2 w/ 1 Month Free Free On Site Laundry Near,-74.0077,40.711002,$2600.00,17 Ann Street,10277,Apartment,10038,"[61, 73, 87]",thai,39,"[1168, 1045, 1225, 1089, 2]",23.28726402042027,Fulton St
2 Bedroom in Baychester and Pelham Garden,-73.835497,40.869683,"$1,800",1907 Arnow Ave,10469,Apartment,10469,"[6, 74, 62]",,0,"[501, 536, 1295, 394, 21]",442.2939064111358,Baychester Av
A real 2br in the heart of the west village!,-74.00432,40.732616,$3950.00,,10014,Apartment,10014,"[22, 11, 51]",italian,76,"[237, 1385, 217, 1106, 466]",159.1576224609583,Christopher St-Sheridan Sq
"Great for Live/work,young families*Exposed brick walls,Decorative fire",-73.98038,40.67448,$3700.00,660 Carroll STREET,11217,Apartment,11215,"[58, 60, 24]",italian,50,"[867, 917, 548, 32, 688]",252.04057881122748,7 Av
Amazing Large 2 Bedroom in Prime Bushwick!,-73.921831,40.692223,"$2,150",57 Grove Street,11221,Apartment,11221,"[74, 6, 112]",mexican,47,"[22, 1005, 1222, 131, 622]",93.5898403997509,Gates Av
Charming Cannondale antique- Dogs wanted,-73.42559,41.226667,"$1,750",503 Danbury road,6897,Apartment,10464,"[6, 74, 62]",,0,"[527, 559, 575, 476, 127]",41563.296285297576,Far Rockaway-Mott Av
Modern Large 1 Bd Apt in Luxury Building. 10 min to midtown Manhattan.,-73.9345,40.7446,"$3,200",30-02 39th,11101,Apartment,11101,"[74, 6, 62]",steak_house,2,"[1417, 1123, 392, 324, 516]",320.32082715305495,39 Av-Dutch Kills
NO-FEE BRAND NEW 3 Bed/2 Bath Near Train,-73.8961,40.7036,"$2,700",,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
NO  FEE🏡BEAUTIFUL APART. 3 BED- 2 BATH🏡PET OK🏡LAUNDRY🏡VIDEO IN,-73.918,40.7006,"$2,450",,11237,Apartment,11237,"[74, 6, 62]",mexican,43,"[806, 607, 979, 700, 25]",109.61551288903297,DeKalb Av
*CLINTON HILL * 4BR 2BA DPLX BALCONY * G A C TRAINS*LAUNDRY* NO FEE,-73.957365,40.688595,"$3,499",Franklin ave,11205,Apartment,11238,"[112, 1, 74]",mexican,6,"[1380, 1330, 542, 485, 883]",229.0449893784066,Franklin Av
Yes it's a fireplace! 2BR apt on a picture perfect tree-lined block!,-73.95109,40.804428,"$2,400",118th Street,10026,Apartment,10027,"[6, 74, 62]",southern,3,"[53, 690, 1092, 429, 417]",177.95312071813808,116 St
*CLINTON HILL/BED STUY* 1BR MASSIVE WITH W.D & PRIVATE DECK*AC TRAINS*,-73.955272,40.683385,"$2,495",Putnam ave,11216,Apartment,11216,"[112, 74, 1]",latin_american,5,"[485, 1330, 542, 54, 57]",105.61805349527795,Franklin Av
"SUNNY, Quiet 2 BR with eat in kitchen. Walk to Mount Sinai. No fee",-73.948267,40.788974,"$2,100",101st Street,10029,Apartment,10029,"[6, 74, 62]",thai,60,"[1075, 108, 905, 753, 384]",100.97751508445383,103 St
Sun filled 2 BR - on campus at Columbia! Intl students welcome. no fee,-73.959789,40.814167,"$2,000",Broadway,10115,Apartment,10027,"[62, 6, 74]",italian,5,"[363, 507, 330, 321, 218]",163.4434011811261,125 St
Yes it's a fireplace! Extraordinary 2 bedroom. Caesarstone. Stainless!,-73.95109,40.804428,"$2,400",118th Street,10026,Apartment,10027,"[6, 74, 62]",southern,3,"[53, 690, 1092, 429, 417]",177.95312071813808,116 St
Brand New 1 Bedroom Apartment with Washer/Dryer in Unit,-73.955493,40.691325,"$2,299",957 Bedford Avenue,11205,Apartment,11205,"[112, 74, 1]",latin_american,4,"[54, 485, 1330, 542, 57]",225.29282607196805,Bedford-Nostrand Avs
NO FEE!! *BEST DEAL🏡BEAUTIFUL APART. 3 BED🏡CALL TODAY🏡MUST SEE,-73.8961,40.7036,"$2,300",,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
"Sunny, Classic 1.5BR-Whole Floor! Great 4 Couple! Park Slope Prospect",-73.973959,40.680892,"$2,750",6Ave @ Bergen St,11217,Apartment,11217,"[24, 60, 75]",mexican,24,"[900, 703, 1296, 694, 372]",126.66578560791491,Bergen St
FILLED WITH NATURAL LIGHT * TOP FLOOR,-73.956227,40.713704,"$1,900",Havrmeyer,11211,Apartment,11211,"[74, 112, 1]",italian,8,"[1196, 1238, 1423, 1105, 225]",131.8439818580902,Bedford Av
2  Bedrooms for rent in 3 bedroom Apt.,-73.917071,40.695782,"$1,000",Linden street,11237,Apartment,11221,"[74, 6, 112]",mexican,49,"[873, 1019, 923, 816, 700]",289.53943841091655,DeKalb Av
NO FEE!! BEST DEAL🏡NICE APART. 4 BED🏡CALL TODAY🏡HEAT & HOT WATER INCLU,-73.9274,40.6907,"$2,499",,11221,Apartment,11221,"[74, 6, 112]",mexican,36,"[524, 1475, 1284, 977, 717]",177.01908285121436,Kosciuszko St
"Charming STUDIO, SOUTH PARK SLOPE/GREENWOOD - Available Now",-73.99897,40.659574,"$1,400",4Ave @ 26 St,11232,Apartment,11232,"[61, 107, 87]",,0,"[1055, 987, 959, 992, 182]",100.94337184362168,25 St
1 BR in Clinton Hill / Fort Greene - no fee,-73.9666,40.6924,"$2,555",,11205,Apartment,11205,"[112, 24, 60]",indian,6,"[1230, 1213, 696, 40, 206]",135.03838363647776,Clinton-Washington Avs
BSMT Room for rent Private bath,-73.8739,40.7613,"$1,000",,11369,Apartment,11369,"[6, 74, 62]",,0,"[419, 718, 401, 408, 66]",499.51494394605726,90 St-Elmhurst Av
3 BEDROOM 2 BATH! MASSIVE DECK! 12 MONTH SUBLET. AMENITIES GALORE!!!,-73.933783,40.700636,"$3,958",54 Noll street,11206,Apartment,11206,"[74, 6, 112]",american,13,"[701, 473, 741, 717, 212]",183.8895822443607,Morgan Av
"Spacious 3Br Apartment,, Utilities Included,,Parking Spot Included !",-73.7326,40.7591,"$2,500",,11362,Apartment,11362,"[6, 74, 62]",,0,"[1024, 20, 887, 572, 248]",5453.347995103352,Far Rockaway-Mott Av
CROWN HEIGHTS~NO FEE!~NEWLY RENOVATED~DUPLEX~PRIVATE BACKYARD~LAUNDRY~,-73.929603,40.668715,$3100.00,1172 Eastern Parkway,11213,Apartment,11213,"[74, 6, 112]",indian,1,"[1284, 431, 524, 977, 717]",350.8728888577728,Utica Av
Welcome to the Townhouse on W 79th - Private Outdoor Space (no fee),-73.9764,40.7864,"$5,999",,10024,Apartment,10024,"[59, 12, 7]",japanese,15,"[45, 647, 560, 491, 6]",71.78816529232068,86 St
AMAZING NO-FEE STUDIO-LOFT ON UES!,-73.962929,40.766559,"$1,950",East 67th St,10065,Apartment,10065,"[113, 112, 1]",french,16,"[1136, 1087, 44, 227, 157]",115.36846905997126,68 St-Hunter College
Room Sublet,-73.943031,40.834096,$900,550 W 158th street,10032,Apartment,10039,"[6, 74, 62]",barbecue,4,"[1392, 341, 627, 585, 83]",201.40669629613512,155 St
"Renovated 1 BR with Private Entry, Garden - No Fee",-73.986328,40.665814,"$2,500",320 13TH STREET,11215,Apartment,11215,"[58, 91, 60]",american,26,"[84, 800, 1221, 425, 122]",268.3509930979509,4 Av-9 St
NO FEE_AWESOME HOT BARGAIN  1BR_ASTOR PLACE 5 ST & 3 AVE,-73.989612,40.727057,"$1,575",221 EAST 5 STREET,10003,Apartment,10003,"[45, 46, 106]",american,129,"[1061, 383, 123, 191, 278]",117.80914120784833,2 Av
2 Bedroom,-73.99498,40.61721,"$1,750",,11204,Apartment,11204,"[58, 61, 91]",chinese,14,"[165, 1442, 1030, 553, 930]",279.38192336091,New Utrecht Av
"Beautiful Studio Apt, All Utility incl., in Pelham Parkway/Morris Park",-73.85025,40.859812,"$1,400",astor ave,10469,Apartment,10469,"[6, 74, 62]",deli,2,"[536, 1295, 184, 21, 501]",524.483292659249,Gun Hill Rd
24/7 DOORMAN_____LARGE WINDOWS__12 FT CEILINGS___,-74.010385,40.707781,"$2,500",,10271,Apartment,10005,"[61, 35, 73]",thai,28,"[1141, 704, 1478, 1205, 367]",84.6441854374522,Broad St
Sunny 2nd floor 3 bedroom in 2 family house,-73.89485,40.69859,"$2,250",60th Lane,11385,Apartment,11385,"[6, 74, 62]",mexican,57,"[326, 1384, 1466, 757, 16]",260.6444244258911,Fresh Pond Rd
Greenpoint 3 Bedroom 2 Bath Corner Unit double height ceilings,-73.954661,40.732868,"$3,200",1008 Manhattan Avenue,11222,Apartment,11222,"[74, 112, 1]",burger,9,"[255, 116, 824, 790, 767]",52.21704766448066,Greenpoint Av
Large Sunny 1-Bedroom - Exposed brick - Lexington Avenue. No fee,-73.943948,40.795436,"$1,800",Lexington Ave,10029,Apartment,10029,"[6, 74, 62]",thai,16,"[405, 416, 104, 348, 384]",35.935356183134,110 St
Huge Room in Astoria $ 950 10/15/20 Availability,-73.852792,40.685119,$950,,11416,Apartment,11416,"[6, 74, 62]",,0,"[724, 1134, 743, 222, 640]",219.6146313856201,88 St
New Beautiful 3BR 2BA Apt -Large Size-Best Deal-Laundry-Roof Top-,-73.939898,40.67727,"$2,535",Pacific St,11213,Apartment,11213,"[74, 112, 6]",american,3,"[1306, 1014, 440, 803, 741]",134.33091287769528,Kingston-Throop Avs
3 bedroom apartment NO FEE BY OWNER + ONE MONTH FREE,-73.9139,40.7663,"$2,900",,11103,Apartment,11103,"[6, 74, 62]",sushi,9,"[13, 100, 112, 39, 25]",314.12824825496034,46 St
NICE SKYLIGHT APARTMENT IN LOWER EAST SIDE,-73.98969,40.717959,"$2,600",247 Broome Street,10002,Apartment,10002,"[91, 58, 46]",american,78,"[707, 583, 322, 265, 323]",140.80150976550078,East Broadway
Bay Ridge Jr.4 1 bedroom+office on 1FL,-74.030867,40.629814,"$1,750",219 78th Street,11209,Apartment,11209,"[61, 35, 73]",middle_eastern,4,"[460, 474, 1003, 505, 187]",350.5936335719754,86 St
Guarantee Best Price Manhattan STUDIO APT You Will Not Find Cheaper,-73.951853,40.82451,"$1,375",West 142 Street,10031,Apartment,10031,"[6, 62, 74]",japanese,3,"[493, 1092, 83, 330, 53]",177.47444973417717,145 St
4 BR & 1.5 BATH in HARLEM,-73.9507,40.8246,"$3,529",3620 Broadway,10031,Apartment,10031,"[6, 74, 62]",japanese,3,"[493, 1092, 83, 53, 330]",70.89833562795405,145 St
NO FEE Two Bedroom Apt. With Terrace and Panoramic view of Varrazano,-74.0303,40.6251,"$1,950",93rd street,11209,Apartment,11209,"[61, 35, 73]",middle_eastern,4,"[460, 474, 1003, 505, 187]",224.0074169150515,86 St
NO FEE - Two Bedroom with Balcony,-73.9563,40.7095,"$2,800",,11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
Brand new! Columbia University! W/D! Furnished,-73.954586,40.820769,"$2,450",136th street,10031,Apartment,10031,"[6, 62, 74]",japanese,5,"[1092, 493, 330, 507, 363]",108.11580355212091,137 St-City College
Large 3BR in Prospect Heights By Brooklyn Museum & Grand Army Plaza,-73.964403,40.67683,"$2,950",Prospect Pl,11238,Apartment,11238,"[24, 60, 112]",mexican,15,"[495, 1403, 307, 1249, 696]",148.78969807015778,Eastern Pkwy-Brooklyn Museum
BEAUTIFUL 3 BEDROOM 2 FULL BATH DUPLEX YARD AND LAUNDRY IN BUILDING,-73.9149,40.7627,"$3,700",,11103,Apartment,11103,"[6, 74, 62]",sushi,10,"[219, 1263, 13, 100, 112]",262.8601092784736,46 St
No Fee 2BR 2BA ~ Recently Renovated ~ Convenient Location!,-73.941507,40.703871,"$2,099",Moore St,11206,Apartment,11206,"[74, 6, 112]",coffee,7,"[266, 807, 808, 50, 97]",118.87588308415647,Flushing Av
"NO FEE!! HUGE LOFT APARTMENT WITH FIREPLACE, PT DM PREWAR BLDG",-73.998505,40.735046,$4500.00,,10113,Apartment,10011,"[56, 105, 80]",italian,82,"[163, 861, 117, 234, 115]",196.79381273066022,18 St
Newly Renovated 4 Bedrooms Apt. Cross the street From Doughboy Park,-73.9069,40.745,"$2,600",52st street,11377,Apartment,11104,"[6, 74, 62]",Nepali,5,"[1245, 850, 1269, 676, 1077]",262.59050322681173,Northern Blvd
Studio for rent,-73.8961,40.7036,"$1,500",67TH PLS,11385,Apartment,11385,"[6, 74, 62]",chinese,69,"[1459, 63, 479, 439, 295]",83.5267193579087,Fresh Pond Rd
* CROWN HEIGHTS * 3BR 2BA 1100 SQFT * LAUNDRY /ROOF/STORAGE* C TRAIN,-73.941463,40.6772,"$2,537",Pacific st,11213,Apartment,11213,"[74, 112, 1]",american,3,"[1014, 440, 1306, 803, 609]",107.38083378568922,Kingston-Throop Avs
Stunning Brand New 3 bedroom 2 bathroom in a Bushwick townhouse,-73.915619,40.690025,"$2,300",97 Cornelia,11221,Apartment,11221,"[74, 6, 112]",mexican,52,"[926, 1019, 873, 60, 578]",153.632464814952,Halsey St
***3 Bedroom Close to Ft. Tryon***,-73.9221,40.8662,"$2,500",,10034,Apartment,10034,"[6, 74, 62]",latin_american,3,"[169, 610, 30, 539, 259]",251.43865542238103,Inwood-207 St
➽APARTMENTS AVAILABLE BY NORWALK HOSPITAL!,-73.4358,41.1222,"$1,995",32 Prospect Street,6850,Apartment,10464,"[6, 74, 62]",,0,"[527, 559, 575, 476, 127]",39086.75607705513,Far Rockaway-Mott Av
Luxury Studio/1 bath apt with Huge Private Terrace! Full Amenity Bldg!,-73.931618,40.675881,"$1,765",1705 Dean St,11213,Apartment,11213,"[74, 6, 112]",indian,1,"[1284, 524, 1475, 431, 741]",145.81994405634356,Utica Av
Comfortable 1 bed 1 bath at a price that's just right! Come in today,-73.902845,40.936044,"$1,979",20 Water Grant St,10702,Apartment,10471,"[6, 74, 62]",,0,"[529, 925, 198, 414, 259]",1518.7706293854133,Van Cortlandt Park-242 St
NO FEE! 1.5 bed in the heart of bed stuy,-73.92025,40.679213,"$1,650",28 macdougal street,11233,Apartment,11233,"[74, 6, 112]",chinese,7,"[131, 1446, 671, 578, 431]",60.80480970685462,Ralph Av
Modern cozy studio for ASAP move in!,-73.937101,40.714153,"$1,740",Catherine Street,11211,Apartment,11206,"[74, 6, 112]",american,4,"[937, 939, 837, 266, 701]",363.83101503519856,Montrose Av
"luxury 1br floor to ceiling windows, huge balcony, spectacular views",-73.959823,40.71322,"$3,950",190 south 1st street apartment 8a,11211,Apartment,11211,"[112, 1, 74]",american,13,"[225, 1105, 366, 685, 15]",274.0144587142021,Marcy Av
"No Fee, Huge newly renovated Apt,  2BR, 1000Sq",-73.7949,40.7272,"$1,900",76th Ave,11366,Apartment,11366,"[6, 74, 62]",colombian,1,"[1370, 1155, 49, 356, 67]",538.8127759820171,169 St
Bright One Bedroom,-73.925076,40.768619,"$2,250",30th Avenue,11102,Apartment,11102,"[6, 74, 62]",italian,10,"[862, 532, 691, 750, 121]",214.7739756650571,Broadway
Beautifully Renovated Brand New Studio in Bed-Stuy,-73.946786,40.686691,"$1,619",Gates,11216,Apartment,11216,"[74, 112, 1]",caribbean,5,"[440, 1014, 57, 857, 609]",349.0107853269821,Myrtle-Willoughby Avs
Renovated King-Sized 1-Bed on 84th & Park with Laundry & Elevator,-73.957708,40.778689,"$2,775",84th,10028,Apartment,10028,"[74, 62, 113]",diner,18,"[1312, 214, 465, 1007, 28]",236.9106964405087,86 St
*NO BROKER'S FEE / NEGOTIABLE* Stunning 3 Bed PLUS OFFICE!,-73.936406,40.671774,"$2,699",Troy Ave,11213,Apartment,11213,"[74, 6, 112]",mexican,1,"[1306, 803, 741, 1284, 1014]",395.22201004234626,Crown Hts-Utica Av
Modern 3 bed apt on the 1 st floor of a 2 family House,-73.911,40.7763,"$2,600",,11105,Apartment,11105,"[6, 74, 62]",greek,8,"[1199, 1300, 112, 100, 13]",121.39375807897234,Astoria-Ditmars Blvd
Great renovated 1br - no fee,-73.932813,40.686763,"$1,675",MADISON ST.,11221,Apartment,11221,"[74, 6, 112]",mexican,6,"[1284, 741, 803, 701, 473]",324.89069999498196,Utica Av
Enormous Duplex with Private backyard! Free rent!,-73.934913,40.79668,"$2,680",117th street,10035,Apartment,10035,"[6, 74, 62]",mexican,7,"[541, 1010, 1072, 1065, 1043]",376.20268021462283,125 St
Great 2br 1bth - next to Graham L - heat &hot water incl -hurry !,-73.938805,40.713876,"$2,250",devoe street,11211,Apartment,11206,"[74, 6, 112]",american,4,"[939, 937, 266, 837, 807]",215.8799164857802,Grand St
🔴Renovated 4br duplex - skylights - no fee🔴,-73.913361,40.69597,"$2,299",Woodbine Street,11237,Apartment,11221,"[74, 6, 62]",mexican,78,"[274, 1419, 1120, 882, 1060]",152.12994660173484,Myrtle-Wyckoff Avs
