Lng,Lat,name,cuisine,street,phone
-73.92682950000001,40.8654854975452,Albert's Mofongo,latin_american,Broadway,+1-212-569-3441
-73.9937954,40.73872519754521,Aldea,spanish,West 17th Street,+1 212 675-7223
-73.9813928,40.675289797545204,al di la Trattoria,italian,5th Avenue,+1-718-783-4565
-73.9917722,40.74012419754521,Aleo,italian,West 20th Street,+1-212-691-8136
-73.91112559999999,40.6948491975452,Alex Luncheonette,dominican;chicken,Knickerbocker Avenue,+1-718-417-9465
-76.5098667,43.460391797545206,Alex's On the Water,regional,East 1st Street,+1 315 343 5121
-74.00885670000001,40.704701797545205,Al Horno,mexican,Pearl Street,+12124808500
-73.67581740000001,42.7362342975452,Ali Baba,turkish;mediterranean,15th Street,+1-518-273-2222
-73.97009179999999,40.7524053975452,Ali Baba's Terrace,turkish,2nd Avenue,+1-212-888-8622
-73.9190209,40.742881497545206,Alpha Donuts,donuts,Queens Boulevard,+1-718-472-4725
-73.9681963,40.6801088975452,Alta Calidad,mexican,Vanderbilt Avenue,+1-718-622-1111
-73.7512501,42.65268729754521,Ama Cocina,mexican,Sheridan Avenue,+1-518-776-4550
-73.9236569,40.7020214975452,Amanda's Kitchen,salvadorian,Suydam Street,+1-347-488-6297
-73.9218056,40.7030750975452,Amaranto,mexican,Hart Street,+1-718-576-6001
-73.9621925,40.759009297545205,Amaze,Japanese;Chinese,1st Avenue,+1-212-688-8808
-73.97685990000001,40.785479597545205,Amaze Fusion & Lounge,japanese,Amsterdam Avenue,+1-212-874-1076
-74.0057689,40.7245102975452,Amelia's Diner,american;burger;wrap;breakfast,Varick Street,+1-212-925-5998
-74.0101564,40.719127197545205,American Cut,steak,Greenwich Street,+1 212 226-4736
-73.9703599,40.7607198975452,American Cut Steakhouse Midtown,steak_house;modern,East 56th Street,+1 212-388-5277
-73.7922692,40.7108158975452,Amina Thai,asian;chinese,Hillside Avenue,+1-718-880-1804
-73.9446152,40.7114031975452,Ammazzacaffè,italian;coffee,Grand Street,+1-929-250-2875
-73.69802390000001,43.329806497545206,Amore Pizza,pizza,Aviation Road,+1 518 792 2285
-73.9540704,40.7749658975452,Amura,japanese,2nd Avenue,+1-212-772-1688
-73.95022990000001,40.8024602975452,Amy Ruth's,southern,West 116th Street,+1-212-280-8779
-73.95299890000001,40.694819597545205,Anaiah's Restaurant,latin_american,Myrtle Avenue,+1-718-858-8868
-73.94527690000001,40.7827949975452,Andaman Thai Bistro,thai,1st Avenue,+1 212-722-5671
-73.9898634,40.751674197545206,Andrews Coffee Shop,american,7th Avenue,+1-212-695-1962
-73.9500177,40.6833902975452,Angela's,caribbean,Nostrand Avenue,+1 718 552 2297
-74.2513558,40.513402797545204,Angelina's,italian,Ellis Street,+1 718 227-2900
-73.7486679,42.65333429754521,Angelo's 677 Prime,steak_house,Broadway,518-427-7463
-73.91404370000001,40.6850824975452,Angie's Cafe & Grill,Spanish;diner,Broadway,+1-718-573-7765
-77.05161159999999,42.14280699754521,Aniello's Pizzeria,pizza,East Market Street,607-962-2060
-73.9733554,40.7900953975452,Anthi's Greek Food,greek,Amsterdam Avenue,+1 212-787-1007
-73.8963266,40.70481389754521,Antica Trattoria,italian,Fresh Pond Road,(718) 386-1559
-76.2255735,43.1392275975452,Antonio's Liverpool Pizzeria,pizza,Oswego Road,+1-315-622-0045
-73.88666140000001,40.85417129754521,Antonio's Trattoria,italian,Belmont Avenue,+1 718 733-6630
-73.8706295,40.734830697545206,Applebee's Grill + Bar,american,Queens Boulevard,+1 718-271-7999
-73.79799679999999,40.704367397545205,Applebee’s Neighborhood Grill & Bar,american,Jamaica Avenue,+1-347-571-0921
-73.98244270000001,40.7646805975452,Applejack Diner,diner,Broadway,+1 212-586-6075
-73.9721848,40.76078189754521,Aquavit,scandinavian,East 55th Street,+1 212-307-7311
-73.924545,40.7046454975452,Arepera Guacuco,venezuelan,Irving Avenue,+1-347-305-3300
-74.00673,40.735136997545204,Aria West Village,italian,Perry Street,+1-212-242-4233
-73.9107752,40.6946746975452,Aris Pollos A La Brasa,chicken,Knickerbocker Avenue,+1-718-381-9400
-73.867919,40.7238626975452,Aroma Indian,indian,Woodhaven Boulevard,718-200-0010
-74.00889190000001,40.7097615975452,Arou Dee Thai Kitchen,thai,John Street,(212) 528-9922
-73.978758,40.77814939754521,Arte Cafe,italian,West 73rd Street,+1-212-501-7014
-73.78962709999999,40.766611997545205,Arya Kabob House,afghan,Francis Lewis Boulevard,+1 347 368-4471
-73.9500566,40.77985429754521,Ashoka on 2nd,indian,2nd Avenue,+1 212-876-9100
-76.49579159999999,42.4403319975452,Asia Cuisine,korean;japanese,North Aurora Street,607-256-8818
-73.89947590000001,40.710172797545205,Asomm Thai,thai; salad; soup,Fresh Pond Road,+1-929-387-8065
-73.97442559999999,40.76131809754521,Astor Court,international;Fine_Dining,East 55th Street,+1-212-339-6857
-73.99211690000001,40.69962379754521,Asya,indian,Henry Street,+1 718 858-6700
-73.647063,40.608237697545206,A Taberna,portuguese,Austin Boulevard,+1-516-432-0455
-73.9465284,40.8162289975452,A Taste of Seafood,seafood,Frederick Douglas Boulevard,2128660275
-73.98639109999999,40.664868897545205,Athena,greek,6th Avenue,+1-718-965-4578
-73.9814879,40.7720498975452,Atlantic Grill,seafood,West 64th Street,+1 212-787-4663
-73.8019752,40.7080936975452,Atomic Wings,wings;chicken;gyros,Hillside Avenue,+1-718-480-6642
-73.9848705,40.671151697545206,Authentic Szechuan,chinese;japanese,5th Avenue,+1-718-788-2226
-73.9944417,40.685753997545206,Awash Ethiopian Restaurant,ethiopian,Court Street,+1-718-243-2151
-73.9921405,40.75559659754521,Aya Sushi,sushi;japanese,West 39th Street,+1-212-221-5849
-73.7002712,40.6397213975452,¡Ay Carumba!,mexican;breakfast,Broadway,+1-516-837-0818
-73.64375240000001,40.7485796975452,Azzurro's Pizzeria Restaurant and Bar,italian,Jericho Turnpike,516-747-6616
-73.9914975,40.7145454975452,Bacaro,italian,Division Street,(212) 941-5060
-73.9843598,40.6869246975452,Bacchus,french,Atlantic Avenue,+1-718-852-1572
-73.6918495,42.73060679754521,Bacchus Woodfired,pizza,2nd Street,518-687-0345
-74.43248299999999,41.424726797545205,Badabing Pizzeria,pizza,County Road 78,845-341-0009
-74.0060257,40.7397042975452,Bagatelle,french,Little West 12th Street,+1-212-488-2110
-73.9449741,40.711388797545204,Bahia,salvadorian;coffee,Grand Street,+1-718-218-9592
-73.9898018,40.7419337975452,Baita by Birreria,italian,5th Avenue,+1 (212) 937-8910
-73.985049,40.7325829975452,Bait and Hook,seafood,2nd Avenue,(212) 260-8015
-73.9133194,40.774203697545204,Balkh Shish Kabab House,afghan,31st Street,+1-718-721-5020
-73.9942698,40.7127475975452,Bamboo,chinese,Market Street,(212) 233-0383
-73.8993469,40.7007870975452,Bamboo Tropical,juice;salad,71st Avenue,+1-718-381-2440
-73.979697,40.743229197545205,Banc,american,3rd Avenue,+1-212-252-0146
-73.9429411,40.79025339754521,Bangklyn East Harlem,thai,2nd Avenue,+1 646-429-8128
-73.9533049,40.7753533975452,Bangkok Cuisine,thai,2nd Avenue,+1 212-988-1112
-76.22064540000001,43.12817119754521,Bangkok Thai Restaurant,asian;thai,Oswego Road,+1-315-451-4621
-73.9856638,40.7324747975452,Baohaus,taiwanese,East 14th Street,(646) 669-8889
-73.9479452,40.7897094975452,barbarrio,latin_fusion,Lexington Avenue,+1 917-409-0071
-73.90742840000001,40.700113097545206,Barcelo,sandwich;seafood;chicken;,Myrtle Avenue,+1-917-909-1511
-73.90883170000001,40.691241297545204,BARCHAA,peruvian,Wilson Avenue,+1-347-405-6745
-73.94902890000002,40.777744997545206,Bareburger,burger,1st Avenue,+1 212-390-1344
-73.91284370000001,40.7741310975452,Bareburger,burger,31st Street,+1-718-204-7167
-74.0010792,40.742109797545204,Bareburger,burger,8th Avenue,+1 (212) 414-2273
-73.9924085,40.689217897545205,Bareburger,burger,Court Street,+1-347-529-6673
-73.99825390000001,40.72828909754521,Bareburger,burger,La Guardia Place,+1-212-477-8125
-73.9536871,40.7435020975452,Bareburger,burger,Vernon Boulevard,+1-718-937-2273
-73.9972115,40.7376976975452,Bareburger,burger; salad; sandwich,West 14th Street,+1-646-596-7980
-73.9503873,40.78406979754521,Barking Dog,american,3rd Avenue,(212) 831-1800
-73.882834,40.749781797545204,Barriles Restaurante Colombiano,columbian;latin_american,37th Avenue,+1-347-642-9811
-73.9910207,40.6712414975452,Bar Tano,italian,3rd Avenue,+1 718 499 3400
-73.9223507,40.7607010975452,Bartolino's Italian Restaurant,italian,Broadway,+1-718-728-0430
-73.98471740000001,40.666850597545206,Bar Toto,italian,11th Street,+1-718-768-4698
-73.9897726,40.726038697545206,Bar Verde,mexican,2nd Avenue,+1-212-777-6965
-75.98055459999999,42.0958620975452,Basha's Lebanese Grill,lebanese;middle_eastern,Vestal Parkway East,+1-607-333-9010
-73.9201255,40.7707450975452,Basil Brick Oven Pizza,pizza;italian,Astoria Boulevard,+1-718-204-1205
-74.0058025,40.719575997545206,Bâtard,french,West Broadway,+1-212-219-2777
-73.3283066,40.89978829754521,Batata Cafe,cafe,Fort Salonga Road,+1 631 754 4439
-73.9988912,40.7156799975452,Bayard Sushi,sushi,Bayard Street,+1-646-922-7808
-76.2257615,43.139409697545204,Bayberry Fish Cove,seafood;fish,Oswego Road,+1-315-652-1454
-73.99117159999999,43.6859925975452,becks TAVERN,german;american,Peaceful Valley Road,5182515100
-73.920741,40.68525429754521,Bed-Stuy Fish Fry,soul_food;pasta;seafood,Halsey Street,+1-347-405-9820
-73.98616,40.7330397975452,Beijing Chinese Restaurant,chinese,East 14th Street,(212) 982-8966
-73.909085,40.7070971975452,Beijing Restaurant,chinese,Woodward Avenue,(718) 386-4588
-73.9107423,40.7133969975452,Bella Donna Pizzeria,pizza,54th Street,+1-718-497-1744
-73.99470129999999,40.7450974975452,Bella Napoli,italian,7th Avenue,212-675-4050
-73.8952666,40.7123468975452,Bella Nova's,pizza;italian;pasta,Metropolitan Avenue,+1-718-456-4786
-73.9687446,40.7609516975452,Belmora Pizza,italian,East 57th Street,+1 212-935-2080
-73.82111450000001,40.7248021975452,Benjys,pizza;sushi,Main Street,+1-718-268-0791
-74.0056931,40.709001697545204,Bennie Thai Cafe,thai,Fulton Street,+12125878930
-73.86132059999998,40.7294074975452,Ben's Best Kosher Delicatessen,Jewish;soup;sandwich,Queens Boulevard,+1 718 897 1700
-77.0531607,42.143245797545205,Bento ya Masako,japanese,East Market Street,607-936-3659
-73.9317428,40.617698997545205,Benvenuti,pizza,Flatbush Avenue,7183378100
-73.97709090000001,40.681618097545204,Besito,dominican,5th Avenue,+1-718-230-1703
-73.9927069,40.72546299754521,Bessou,japanese,Bleecker Street,(212) 228-8502
-73.75888909999999,42.654644397545205,Better Bite,american,Washington Avenue,518-694-4400
-74.16911590000001,41.426844597545205,Betty's Country Kitchen,cafe/diner,West Main Street,(845) 614-5422
-73.9858488,40.7329096975452,Beyond Sushi,sushi,East 14th Street,(646) 861-2889
-75.8526255,42.929753897545204,BG Buda’s Cucina Italiana,italian,Albany Street,315.663.1530
-73.9880573,40.728414197545206,B&H Dairy,omelette; breakfast,2nd Avenue,+1-212-505-8065
-73.9678497,40.71198429754521,Bia,vietnamese,South 6th Street,+1 718 388-0908
-73.97338609999998,40.7525340975452,Bierhaus NYC,german,3rd Avenue,+1 212-867-2337
-78.8709352,42.8880310975452,Big Ditch Brewing Company,american,East Huron Street,+1 716 854 5050
-73.9867026,40.6880240975452,Bijan's,mediterranean;persian;brunch,Hoyt Street,+1-718-855-5574
-74.0056248,40.7402703975452,Bill's Bar & Burger,burger,9th Avenue,+1 212-414-3003
-73.97755009999999,40.7593743975452,Bill's Bar & Burger,burger,West 51st Street,+1 212-331-0328
-76.5107792,43.4561479975452,Bistro 197,regional,West 1st Street,+1 315 343 2930
-73.961895,40.7588838975452,Bistro Vendôme,French;Italian,East 58th Street,+1-212-935-9100
-73.92433359999998,40.7020378975452,BK JANI,pakistani;burger;kebab,Knickerbocker Avenue,+1-347-460-5110
-74.0042425,40.7238737975452,Black Tap,burger;american,Broome Street,917 639 3089
-73.9845292,40.745371897545205,Blank Slate Coffee + Kitchen,american; coffee,Madison Avenue,+1-212-683-7800
-73.98570129999999,40.732846697545206,Blind Pig,american,East 14th Street,+1-212-209-1573
-73.993377,40.738528097545206,BLT Fish,seafood,West 17th Street,+1 212 691-8888
-73.9995703,40.732039697545204,Blue Hill,american,Washington Place,+1-212-539-1776
-73.9909251,40.724460797545206,Blue Ribbon Fried Chicken,american;chicken,East 1st Street,+1 212 228-0404
-73.9947443,40.614818197545205,Blue Sky Jwy Restaurant,chinese,18th Avenue,+1-718-837-8818
-74.015376,40.7146177975452,Blue Smoke,american,Vesey Street,+1 212-889-2005
-73.9756765,40.75460309754521,Bobby Van's Steakhouse - Park Ave,steak_house,Park Avenue,(212) 867-5490
-78.69540129999999,42.9748246975452,Bob Evans,american,Transit Road,+1-716-634-4480
-73.92397640000002,40.866868397545204,Bocaditos Bistro,latin_american;Caribbean,Broadway,+1-347-617-1606
-73.88211740000001,40.7373469975452,Boca Juniors Restaurant & Bar,argentinian,Queens Boulevard,+1-718-429-2077
-74.00293559999999,40.744616797545206,Bocca di Bacco,italian,9th Avenue,+1 212 989 8400
-73.9991738,40.716357097545206,Bodhi,chinese,Mulberry Street,+1-212-233-2921
-73.97404209999999,40.78933399754521,Bodrum,mediterranean,Amsterdam Avenue,+1 (212) 799-2806
-73.95659040000001,40.769058097545205,Bohemian Spirit Restaurant,czech,East 73rd Street,+1 212-861-1038
-73.988146,40.764185397545205,Bombay Grill House,indian,9th Avenue,+1-212-977-1010
-73.9096427,40.6939802975452,Bombay Kitchen,indian,Knickerbocker Avenue,+1-347-915-1888
-76.9939104,43.0533551975452,"Bone Appetit: Smokehouse, BBQ and Bakery",barbecue,Geneva Street,+1 315 946 4600
-76.019067,43.034007497545204,Bonefish Grill,seafood,Towne Drive,315 637 0491
-73.95211809999999,40.7845228975452,Bonjour Crêpes & Wine,crepes,Lexington Avenue,+1 212-534-4300
-73.81215259999999,40.7647322975452,Book Chang Dong Soon Tofu,korean,Northern Boulevard,+1 718 961-2001
-73.6911679,42.7315008975452,Bootlegger's on Broadway,american,Broadway,518-874-4475
-73.99804870000001,40.6782209975452,Boran,thai,Court Street,+1-718-490-0207
-73.902327,40.704867797545205,Bosna Express,burgers;mediterranean,Fairview Avenue,+1-718-497-7577
-73.861139,40.8337741975452,Boston Market,american,Hugh J. Grant Circle,(347) 719-4924
-74.4122565,41.4573330975452,Botas Caborcas,pizza,North Street,(845) 467-4130
-73.99212800000001,40.74112989754521,Bouley at Home,fine_dining,West 21st Street,+1-212-255-5828
-74.01353370000001,40.706639597545205,Bravo Kosher Pizza,pizza;sushi,Trinity Place,+1-212-344-1111
-73.9889762,40.734221297545204,Bravo Pizza,pizza,East 14th Street,+1 212 253 2220
-73.9871063,40.7025576975452,Bread & Spread,sandwich;coffee,Front Street,+1-718-625-2220
-78.7576823,42.960240297545205,Break'n Eggs Creperie,breakfast,Main Street,7166343447
-73.9888514,40.727317797545204,Brick Lane Curry House,indian,2nd Avenue,+1 212-979-8787
-73.91086120000001,40.69239189754521,Bricklyn Pizza,pizza,Hancock Street,+1-718-758-5858
-73.9882214,40.7638883975452,Bricola,italian,West 51st Street,+16466785763
-73.9817243,40.6744486975452,Brooklyn Burgers & Beer,burger,5th Avenue,+1 718 788 1458
-73.98576870000001,40.75651349754521,Brooklyn Diner,diner,West 43rd Street,+1 212-265-5400
-73.9808702,40.7656333975452,Brooklyn Diner,diner,West 57th Street,+1 212-977-1957
-73.9441291,40.74625739754521,Brooks,italian;american;pub,Jackson Avenue,+1 718 937 1890
-73.9152939,40.869997897545204,Brown Sugar Bar and Restaurant,cuban,Broadway,+1-646-688-3504
-74.00899220000001,40.716715197545206,Brushstroke,japanese,Hudson Street,+1-212-791-3771
-73.9530891,40.77634299754521,Bua Thai Ramen & Robata Grill,thai,2nd Avenue,+1 212-879-7999
-73.87624170000001,41.99541339754521,Bubby's Take Away Kitchen,mexican,West Market Street,(845) 758-8226
-73.95254059999999,40.7770945975452,Budapest Café & Restaurant,hungarian,2nd Avenue,+1 212-327-1105
-73.99879840000001,40.7138650975452,Buddha Bodai,chinese,Mott Street,+1-212-566-8388
-73.83724840000001,40.7180584975452,Buenos Aires Tango Argentine Bar & Grill,Argentinian;Latin American,Queens Boulevard,+1-718-520-6488
-73.9852989,40.6864151975452,Building on Bond,american,Bond Street,+1-347-853-8687
-73.9629819,40.68252309754521,Buka,nigerian,Fulton Street,+1-347-763-0619
-73.9232382,40.71049579754521,Bunker Vietnamese,sandwich;vietnamese,Scott Avenue,+1-718-386-4282
-73.9278626,40.7048893975452,Bunna Cafe,ethiopian,Flushing Avenue,+1-347-295-2227
-73.7958216,40.792640397545206,Buona Forchetta,italian,9th Avenue,+1-718-767-2000
-73.90065909999998,40.702058097545205,Burek Pizza,pizza,Forest Avenue,+1-718-576-3147
-73.9669048,40.7642610975452,Burger Heaven,burger,Lexington Avenue,+1 212-838-3580
-73.9283824,40.7043445975452,Burger It Up,burger;chicken;sandwich;salad,Knickerbocker Avenue,+1-347-318-2618
-73.9787872,40.763884397545205,Burger Joint,american;burger,West 56th Street,2127087414
-73.9587626,40.775402097545204,Burger One,diner,Lexington Avenue,+1 212-737-0095
-73.978873,40.670368997545204,Burger Village,burger,7th Avenue,+1-718-499-4165
-73.89924599999999,40.7008071975452,Burrito Republic,mexican;burrito;taco,71st Avenue,+1-929-337-6446
-74.0059509,40.737015897545206,Bus Stop Cafe,american; breakfast; burger; salad,Hudson Street,+1-212-206-1100
-73.9670572,40.798960197545206,Busters NYC,american,Amsterdam Avenue,212 665-5045
-73.9163237,40.764363497545204,Butcher Bar,barbeque;burger,30th Avenue,+1-718-606-8140
-73.23286709999999,40.8160891975452,Butterfields,american,Old Willets Path,631-851-1507
-73.9083439,40.7030354975452,Cachapas y Mas,venezuelan,Seneca Avenue,+1-347-721-3767
-73.8518314,40.726723197545205,Café Arzu,uzbek,Queens Boulevard,+1 718 830-3335
-73.9639545,40.7743902975452,Cafe Boulud,french,East 76th Street,+1-212-772-2600
-73.9510453,40.779160397545205,Cafe d'Alsace,french,2nd Avenue,+1 212-722-5133
-73.9588041,40.710500397545204,Cafe el Puente,latin_american,South 4th Street,+1 718 388-2416
-73.9879944,40.723204497545204,Cafe Himalaya,tibetan,East 1st Street,(212) 358-0160
-73.96256559999999,40.7585693975452,Cafe Joul,french,1st Avenue,+1 212-759-3131
-73.9905279,40.7177782975452,Cafe Katja,austrian,Orchard Street,+1 212-219-9545
-73.9831224,40.777411097545205,Cafe Luxembourg,french,West 70th Street,(212) 873-7411
-73.9880009,40.7278113975452,Cafe Mocha,burger; pasta,2nd Avenue,+1-212-253-1046
-73.992188,40.75561179754521,Cafe Mofongo,dominican,West 39th Street,+1-212-465-0592
-73.984402,40.727346997545204,Cafe Mogador,moroccan,Saint Mark's Place,+1 212 677 2226
-73.9841684,40.664061397545204,Cafe Steinhof,austrian,7th Avenue,+1 718 369 7776
-73.9980066,40.7404947975452,CAFETERIA,american,7th Avenue,+1 212-414-1717
-73.78386009999998,42.67445399754521,Caffe Italia Ristorante,italian,Central Avenue,+1 518 4598029
-73.9822458,40.67428319754521,Calexico,mexican,5th Avenue,+1-347-254-7644
-74.0036027,40.7318243975452,Caliente Cab,mexican,7th Avenue South,+1-212-243-8517
-73.97361490000002,40.7830271975452,Calle Ocho,Cuban,West 81st Street,(212) 873-5025
-77.61420770000001,43.0943440975452,Cam's Pizzeria,pizza,Brighton Henrietta Town Line Road,(585) 413-0332
-76.2206204,43.128110797545204,Canale's Italian Take Out,italian,Oswego Road,+1-315-701-4323
-73.8761093,41.99473119754521,Cancun's,mexican,South Broadway,(845) 835-8207
-74.0352466,41.4346550975452,Canterbury Brook Inn,"american,_swiss",Main Street,845-534-9658
-72.34647729999999,40.993651797545205,Capaletti,italian,Noyac Rd,6317257800
-73.64143609999999,40.62828309754521,Captain Mike's,seafood,Long Beach Road,+1-516-678-4522
-73.9852684,40.72688449754521,Caracas Arepa Bar,venezuelan,East 7th Street,+1 212 529-2314
-77.7342282,43.2173259975452,Caraglio's Pizza,pizza,North Greece Road,+1-585-225-8630
-74.0002252,40.7280028975452,Carbone,italian,Thompson Street,+1-212-254-3000
-73.7360748,40.6741356975452,Caribbean Soul Rooftop Restaurant & Lounge,caribbean,Merrick Blvd,+1-718-712-1106
-73.9091561,40.699970097545204,Caribe Star,caribbean,Myrtle Avenue,(718) 386-0387
-73.91045809999999,40.7045810975452,Carlo's Pizza,pizza,Seneca Avenue,(718) 386-8526
-74.4412431,41.42617289754521,Carlos Pizzeria & Bar,pizza,Wawayanda Avenue,(845) 775-4662
-73.694487,42.723192497545206,Carmen's,spanish;american;breakfast,1st Street,+1-518-326-2064
-73.98671259999999,40.7575108975452,Carmine's,italian,West 44th Street,+1-212-221-3800
-73.9997681,40.7286314975452,Carroll Place,italian;pizza,Bleecker Street,+1-212-260-1700
-73.9542277,40.743361797545205,Casa Enrique,latin_american,49th Avenue,+1-347-448-6040
-73.987178,40.73593189754521,Casa Mono,tapas;spanish,Irving Place,+1-212-253-2773
-74.006242,40.7402994975452,Catch NYC,seafood,9th Avenue,+1-212-392-5978
-73.9885461,40.692431797545204,Cava,mediterranean,Adams Street,+1-929-296-7809
-73.91631059999999,40.86978169754521,Cavala Cafe,soup;salad;sandwich;burger;seafood;pasta;chicken,Broadway,+1-212-567-6640
-75.8417156,42.92717429754521,Cazenovia Bagel Co.,bagel,Nelson Street,+1-315-815-4209
-75.85360379999999,42.92976329754521,Cazenovia Pizza,pizza,Albany Street,315 655 4161
-73.9275766,40.807151997545205,Ceetay,pan-asian,Alexander Avenue,+1 718 618-7020
-73.8922402,40.700844397545204,Celtic Gasthaus,irish,Myrtle Avenue,+1--718-456-8341
-73.6662918,40.649353497545206,Centre Thai Bistro,thai,Atlantic Avenue,(516) 612-4858
-73.9890698,40.719296697545204,Champion Pizza,pizza,Ludlow Street,(646) 678-5589
-73.9408912,40.708461897545206,Champs Diner ,american,Meserole Street,+1-718-599-2743
-73.9920209,40.6842219975452,Chance Asian Bistro & Bar,asian,Smith Street,+1-718-242-1515
-73.9015363,40.702568197545204,Charm Thai Restaurant,thai,Woodward Avenue,+1-917-775-0706
-73.9876041,40.72003089754521,Charrua Uruguayan Restaurant,uruguayan,Essex Street,+1-212-677-5838
-73.9920567,40.736915497545205,Chat n Chew,american; burger,East 16th Street,+1-212-243-1616
-73.864133,40.7276033975452,Cheburechnaya,uzbek,63rd Drive,+1 718 897-9080
-73.9499959,40.713926197545206,Cheers Thai,thai,Metropolitan Avenue,(718) 599-4311
-73.9695811,40.797210897545206,Cheesy Pizza,pizza,Broadway,+1 212-662-6312
-73.9127541,40.693166397545205,Chef Toribio Restaurante,dominican,Wilson Avenue,+1-347-533-9551
-74.0013739,40.746087597545205,Chelsea Cottage's Viet Grill,vietnamese,9th Avenue,+1-212-366-4881;+1-212-366-4882
-73.4778557,44.697201897545206,Chen's,chinese,Cornelia Street,+1 518 562 8880
-73.91057420000001,40.694226197545206,Chen Yuan,chinese,Knickerbocker Avenue,+1-718-919-2542
-73.9881307,40.727040097545206,Cherin Sushi n Ramen,japanese,East 6th Street,+1-212-388-1348
-73.9956064,40.690750097545205,Chez Moi,french,Atlantic Avenue,+1 347 227-8337
-73.97991309999999,40.6050330975452,Chicken Delicious,american;fast_food;wings,Kings Highway,+1-718-998-8878
-73.76720440000001,40.76082739754521,Chicken Lovers,american,215-09,(718) 225-8482
-73.9117776,40.694919397545206,Chimi Mundo,dominican,Knickerbocker Avenue,+1-347-295-3600
-74.4324347,41.4247951975452,China 1,chinese,County Road 78,(845) 343-9555
-76.2205743,43.1279956975452,China 88,chinese;asian,Oswego Road,+1-315-451-8866
-73.63974920000001,43.3036295975452,China Buffet,chinese,Main Street,+1 518 793 5728
-74.0130181,40.706610897545204,China Chalet,chinese,Broadway,+1 212-943-4380
-76.2348704,43.1616472975452,China Garden,chinese;asian,Oswego Road,+1-315-652-6677
-73.952309,40.77743929754521,China Jade Szechuan Chili House,chinese;sichuan,2nd Avenue,+1 212-717-6688
-73.62020940000001,40.8747628975452,China Palace,chinese,Forest Avenue,+1 (516) 671-3223
-73.9512532,40.782886997545205,Chinatown Restaurant,chinese;japanese,3rd Avenue,+1 212-987-3500
-73.69035009999999,42.69662009754521,China Wok,chinese,Vandenburgh Avenue,518-272-2477
-76.2258471,43.139558097545205,China Wong,chinese,Oswego Road,+1-315-622-4567
-76.02988559999999,42.106399597545206,Chinese Buffet,chinese,East Main Street,(607) 748-2748
-73.9980357,40.7143302975452,Chinese Tuxedo,chinese,Doyers Street,6468959301
